generation,N_shifts,logPrior,logLik,eventRate,acceptRate
34000000,4,-48.7637,-101.062,3.82446,0.545
34100000,1,-14.8673,-103.367,0.416592,0.506
34200000,2,-25.9435,-99.2212,1.12229,0.562
34300000,4,-45.5552,-91.4299,1.25309,0.522
34400000,2,-23.9443,-94.9357,1.1708,0.4995
34500000,2,-25.7719,-96.2378,1.59894,0.524
34600000,6,-69.0311,-89.0984,2.00976,0.525
34700000,3,-32.9759,-85.3273,4.08152,0.5247
34800000,1,-17.3221,-103.944,0.727876,0.523222
34900000,2,-25.4512,-98.1182,1.6002,0.536
35000000,7,-75.5512,-83.9049,3.66298,0.515
35100000,2,-21.8936,-97.7098,0.557794,0.523
35200000,1,-16.8886,-103.92,1.75951,0.509
35300000,3,-33.6649,-99.2976,1.46542,0.552714
35400000,4,-44.0226,-90.554,2.20042,0.54425
35500000,4,-42.0076,-95.3123,3.15188,0.559
35600000,1,-16.1239,-100.269,1.47277,0.448
35700000,4,-40.6737,-90.0594,1.85999,0.506125
35800000,2,-24.8513,-97.6377,1.21827,0.5598
35900000,3,-36.5648,-88.9887,1.20411,0.551
36000000,5,-50.9403,-91.8861,2.47218,0.453
36100000,1,-14.817,-106.79,0.359581,0.480286
36200000,3,-36.6507,-99.7467,1.11276,0.537
36300000,2,-23.3051,-94.4983,0.860589,0.548
36400000,5,-51.3832,-85.7642,5.82564,0.5244
36500000,2,-24.2361,-93.3521,1.36249,0.548
36600000,2,-22.6546,-102.422,1.40476,0.524
36700000,1,-14.9443,-103.012,0.365404,0.504
36800000,3,-32.6038,-95.6366,1.9203,0.545
36900000,2,-24.5333,-97.8438,1.75931,0.523
37000000,1,-14.1069,-101.204,0.141604,0.505
37100000,6,-70.0484,-86.986,3.42239,0.542
37200000,2,-27.6963,-100.48,1.10724,0.498
37300000,4,-41.2068,-91.7683,2.81763,0.5375
37400000,3,-34.2175,-96.5539,2.845,0.475
37500000,3,-32.7685,-101.013,0.823419,0.584
37600000,4,-39.4041,-86.811,1.15296,0.515
37700000,2,-22.5702,-97.091,0.832898,0.529
37800000,3,-32.0758,-99.676,1.94754,0.54
37900000,5,-53.0946,-93.6045,3.23417,0.505
38000000,1,-15.7633,-98.0804,1.0825,0.539
38100000,4,-44.2447,-99.959,4.52614,0.5318
38200000,3,-35.9585,-99.5272,1.18767,0.5692
38300000,2,-24.8133,-99.8867,2.31692,0.542
38400000,2,-25.3202,-102.916,1.12099,0.527895
38500000,1,-15.0863,-100.218,1.01346,0.488
38600000,1,-15.8845,-103.429,1.39389,0.503
38700000,1,-15.8384,-106.595,0.689263,0.462
38800000,1,-15.2793,-102.239,0.59601,0.549
38900000,2,-24.2333,-101.837,1.09619,0.502
39000000,2,-24.6585,-103.186,1.69701,0.525
39100000,1,-15.2168,-104.006,0.0727503,0.489
39200000,2,-23.7651,-103.468,1.02687,0.587
39300000,4,-42.154,-89.352,2.05537,0.543
39400000,4,-38.2037,-86.2268,1.62043,0.522
39500000,7,-66.0758,-96.9048,2.42547,0.604
39600000,2,-25.1757,-97.6503,0.909522,0.48
39700000,1,-18.2744,-97.4256,0.17873,0.505
39800000,4,-41.7407,-97.996,3.44234,0.559333
39900000,4,-43.9882,-85.2255,2.79083,0.5335
40000000,9,-80.2384,-71.0805,4.93836,0.558
40100000,2,-22.8736,-99.5239,1.4034,0.554167
40200000,4,-38.6577,-93.772,0.65041,0.531
40300000,1,-16.6714,-97.915,1.26821,0.51
40400000,5,-50.673,-90.8409,1.80221,0.602
40500000,1,-18.1965,-101.038,3.40027,0.5475
40600000,1,-15.7474,-100.346,0.850193,0.513167
40700000,2,-24.7669,-91.3031,0.963259,0.49
40800000,1,-16.29,-100.659,0.287536,0.562
40900000,3,-30.1035,-95.8898,2.16468,0.5775
41000000,2,-23.5723,-101.776,0.904462,0.521556
41100000,1,-18.423,-101.301,2.61486,0.517
41200000,2,-24.6604,-94.8889,0.187476,0.494
41300000,2,-23.4411,-102.967,0.797007,0.5414
41400000,3,-32.7964,-92.7242,1.21828,0.495875
41500000,2,-24.2059,-100.66,1.68532,0.584
41600000,8,-81.6008,-82.0982,4.18287,0.512
41700000,3,-32.8136,-87.3422,4.16705,0.534
41800000,2,-22.8361,-97.6055,1.1834,0.556
41900000,4,-48.7331,-96.3521,2.49879,0.544571
42000000,3,-33.4232,-93.5911,4.01985,0.554
42100000,2,-23.8707,-96.2119,1.21074,0.5555
42200000,4,-43.1561,-106.671,2.99161,0.541833
42300000,1,-15.4883,-102.072,0.698624,0.552
42400000,1,-19.5629,-104.505,5.24626,0.52025
42500000,6,-57.4553,-92.7662,3.73164,0.543
42600000,2,-24.887,-103.186,2.04261,0.51
42700000,2,-24.3027,-97.9062,1.32533,0.517
42800000,4,-43.2179,-94.5424,3.32802,0.58
42900000,2,-26.3103,-102.353,1.93641,0.5595
43000000,1,-17.9912,-98.931,3.39369,0.483
43100000,1,-17.0579,-105.738,0.864225,0.564444
43200000,4,-50.1034,-102.718,2.56366,0.558
43300000,4,-42.2648,-94.5454,1.50035,0.55
43400000,2,-23.1626,-99.6505,1.06765,0.481
43500000,2,-24.5985,-95.1773,1.74033,0.552667
43600000,1,-15.5165,-98.1959,1.16427,0.505
43700000,3,-33.1108,-100.912,1.12741,0.441
43800000,1,-14.1586,-100.837,0.202426,0.495905
43900000,1,-16.027,-97.9319,1.14599,0.491
44000000,4,-43.4911,-83.2154,4.49375,0.519
44100000,3,-36.1114,-96.9604,1.64142,0.558
44200000,1,-15.3035,-99.9359,0.149531,0.491
44300000,2,-26.5647,-100.023,1.74733,0.453
44400000,5,-58.2809,-89.6837,3.80387,0.51325
44500000,1,-16.0276,-105.679,1.6416,0.46
44600000,1,-16.3475,-97.8266,1.25247,0.517
44700000,2,-26.1542,-100.031,2.64936,0.492
44800000,3,-33.1045,-99.9609,1.463,0.571
44900000,2,-24.8908,-102.604,0.374934,0.513214
45000000,1,-16.0059,-104.535,1.44932,0.6
45100000,4,-44.3757,-94.9128,2.41678,0.604
45200000,1,-15.0448,-104.355,0.259421,0.505071
45300000,1,-14.9822,-102.068,0.438357,0.530833
45400000,6,-62.8024,-89.2896,4.6479,0.503692
45500000,3,-33.94,-97.3936,2.9021,0.513842
45600000,3,-41.702,-94.3544,3.25487,0.606
45700000,1,-14.2243,-99.7044,0.0686536,0.555
45800000,3,-34.8913,-92.486,0.920286,0.554
45900000,6,-59.6544,-87.2507,3.34957,0.505
46000000,5,-49.1629,-94.1316,1.98427,0.5346
46100000,1,-17.6798,-106.902,1.99028,0.502333
46200000,5,-52.2114,-101.386,2.65516,0.5147
46300000,3,-32.5164,-96.4704,2.28465,0.565
46400000,2,-23.3722,-95.9699,0.426087,0.547
46500000,4,-40.7952,-89.8637,2.10983,0.53
46600000,1,-14.4853,-100.935,0.335131,0.5645
46700000,2,-24.3087,-103.68,1.29901,0.482333
46800000,6,-63.0705,-83.3511,5.96389,0.544667
46900000,3,-30.3998,-92.3513,0.773541,0.504
47000000,2,-25.7139,-100.209,2.72933,0.5157
47100000,7,-71.9701,-93.8964,3.70639,0.59
47200000,2,-22.8446,-102.713,0.127605,0.565083
47300000,1,-16.3911,-102.997,1.23852,0.573
47400000,1,-16.9073,-97.0161,1.76701,0.530818
47500000,1,-15.7188,-98.7817,0.658478,0.507
47600000,3,-35.9935,-98.8508,2.39737,0.514462
47700000,2,-26.194,-98.693,2.10562,0.549
47800000,2,-26.5901,-99.7736,1.28811,0.5102
47900000,3,-31.7383,-100.223,0.685306,0.560429
48000000,1,-16.2341,-97.8713,0.54361,0.517
48100000,1,-16.7541,-103.04,2.4075,0.495
48200000,2,-28.0568,-107.049,3.97715,0.5145
48300000,1,-15.4171,-98.0488,1.10723,0.534
48400000,3,-34.9586,-90.4715,0.793443,0.564
48500000,1,-16.4279,-100.218,1.83386,0.5375
48600000,2,-27.0042,-95.8317,1.27972,0.484
48700000,2,-24.7011,-98.071,1.8774,0.50925
48800000,3,-31.0922,-93.3869,0.709207,0.56
48900000,1,-14.9992,-102.301,0.141019,0.538
49000000,2,-23.7938,-101.399,0.942264,0.532
49100000,3,-32.5723,-98.4537,2.02212,0.501
49200000,2,-23.1748,-94.0997,1.50568,0.5315
49300000,1,-15.0151,-101.107,0.889897,0.458
49400000,5,-49.1863,-86.2884,0.842358,0.498
49500000,1,-15.3343,-105.342,0.825664,0.51625
49600000,5,-56.1834,-89.1643,3.97592,0.585
49700000,2,-29.6708,-95.9834,2.90395,0.535333
49800000,6,-64.9931,-94.0438,6.52283,0.567333
49900000,3,-31.7825,-93.223,1.212,0.531818
50000000,4,-45.8117,-99.4084,4.18496,0.485
50100000,5,-60.4416,-91.1384,6.45085,0.56
50200000,3,-32.3865,-99.1284,1.35568,0.551
50300000,2,-23.9837,-97.264,0.362015,0.588
50400000,6,-59.3934,-80.2247,2.16716,0.522
50500000,2,-22.7581,-104.173,0.354954,0.583
50600000,3,-31.8501,-96.0861,1.4697,0.515
50700000,8,-78.7553,-82.2854,3.90882,0.5418
50800000,5,-51.3747,-83.7214,4.03932,0.51425
50900000,7,-64.5143,-81.403,3.16244,0.5225
51000000,6,-60.9457,-95.0031,2.01407,0.557
51100000,5,-55.4406,-97.932,1.62765,0.5685
51200000,1,-16.401,-97.0194,1.62828,0.538687
51300000,3,-35.8712,-84.0941,2.07362,0.487
51400000,2,-24.6623,-95.4469,0.869464,0.553
51500000,4,-42.9873,-89.8103,0.894028,0.477
51600000,2,-23.7375,-90.2323,1.19032,0.447
